sn,university,province 1,province 2,province 3,gandaki,province 5,karnali,province 7,total
1.0,Tr bhuvan University,161,100,479,107,172,54,88,1161
2.0,NepalSanskr t University,1,3,3,3,6,0,2,18
3.0,Kathmandu University,1,0,17,1,2,0,0,21
4.0,PurbanchalUniversity,32,23,67,4,4,0,1,131
5.0,Pokhara University,0,0,37,9,12,0,4,62
6.0,LumbiniBauddha University,0,0,5,0,1,0,0,6
7.0,Agriculture and Forestry University,0,0,2,0,0,0,0,2
8.0,Mid-Western University,0,0,0,0,0,1,0,1
9.0,Far Western University,0,0,0,0,0,0,1,1
10.0,BP Koirala Institute for Health Sciences,1,0,0,0,0,0,0,1
11.0,National Academy of Medical Sciences,0,0,1,0,0,0,0,1
12.0,Patan Academy of Health Science,0,0,1,0,0,0,0,1
13.0,KarnaliAcademy HealthSciences,0,0,0,0,0,1,0,1
7.0,Total,196,126,612,124,197,56,96,1407
