district,grade 1,grade 2,grade 3,grade 4,grade 5,grade 6,grade 7,grade 8,grade 9,grade 10,province
Taplejung,8.8,4.7,6.2,4.9,11.7,8.4,9.5,13.3,9.0,6.4,Province 1
Sankhuwasabha,4.0,5.0,5.7,3.9,6.5,7.2,6.5,7.5,8.3,7.7,Province 1
Solukhumbu,9.2,9.6,4.9,3.8,15.0,9.8,9.3,4.8,13.1,10.2,Province 1
Panchthar,10.7,3.6,4.5,4.0,5.9,6.3,7.2,6.0,5.5,7.2,Province 1
Ilam,9.2,4.8,5.9,4.0,9.7,7.3,5.4,11.2,5.6,8.0,Province 1
Dhankuta,9.3,4.9,6.7,2.2,5.6,7.3,5.3,9.3,4.9,9.2,Province 1
Terhathum,3.4,7.7,6.4,4.3,8.1,10.2,6.6,10.7,8.1,8.4,Province 1
Bhojpur,3.0,4.7,8.0,4.3,6.8,7.3,9.8,6.3,7.0,8.7,Province 1
Okhaldhunga,7.4,4.8,1.6,4.1,6.7,6.3,5.4,8.1,11.4,10.1,Province 1
Khotang,4.4,9.3,6.3,6.7,8.3,9.2,14.2,9.5,8.4,9.9,Province 1
Udayapur,5.9,4.6,3.7,3.4,3.3,4.0,2.7,4.5,5.4,4.3,Province 1
Jhapa,11.2,1.9,2.4,2.2,3.0,4.0,3.4,3.0,2.4,3.8,Province 1
Morang,10.5,4.3,1.8,1.9,4.2,3.5,2.6,3.5,2.5,5.4,Province 1
Sunsari,8.6,4.4,2.0,3.2,4.0,6.9,5.5,7.9,5.6,6.2,Province 1
Saptari,1.2,4.7,6.2,5.1,6.7,8.4,10.8,9.5,9.8,12.2,Province 2
Siraha,7.0,2.7,1.9,3.8,4.6,6.9,8.8,9.7,9.3,10.7,Province 2
Dolakha,5.2,4.9,4.8,5.3,4.5,8.5,8.2,10.6,7.3,9.8,Province 3
Sindhupalchok,11.0,4.8,6.7,7.9,6.2,8.4,7.0,8.4,5.4,11.7,Province 3
Rasuwa,4.6,9.6,9.3,5.6,13.1,11.6,12.6,16.1,7.2,9.7,Province 3
Sindhuli,2.4,4.5,3.2,3.9,6.3,6.2,6.3,5.7,6.4,9.7,Province 3
Ramechhap,10.6,4.7,6.2,3.5,5.0,6.9,4.7,4.5,7.9,5.0,Province 3
Kavrepalanchok,3.7,2.8,3.7,3.5,6.2,4.9,4.2,4.0,1.9,8.0,Province 3
