faculties,province 1 t,province 1 f,province 2 t,province 2 f,province 3 t,province 3 f,gandaki t,gandaki f,province 5 t,province 5 f,karnali t,karnali f,province 7 t,province 7 f,total t,total f
Agriculture,0,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0
Animal Science Veterinary Science and Fisheries,0,0,0,0,10,1,0,0,0,0,0,0,0,0,10,1
Education,0,0,0,0,389,44,0,0,0,0,0,0,0,0,389,44
Engineering,0,0,0,0,6,1,0,0,0,0,0,0,0,0,6,1
Forestry,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HSS,0,0,0,0,126,20,4,0,0,0,0,0,0,0,130,20
Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management,0,0,0,0,221,44,5,1,0,0,0,0,0,0,226,45
Medical Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Science
&Technology",0,0,0,0,168,33,0,0,0,0,0,0,0,0,168,33
Sanskrit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,954,143,9,1,0,0,0,0,0,0,963,144
