faculties,province 1 t,province 1 f,province 2 t,province 2 f,province 3 t,province 3 f,gandaki t,gandaki f,province 5 t,province 5 f,karnali t,karnali f,province 7 t,province 7 f,total t,total f
Agriculture,0,0,0,0,251,55,0,0,0,0,0,0,0,0,251,55
Animal Science Veterinary Science and Fisheries,0,0,0,0,102,10,0,0,0,0,0,0,0,0,102,10
Education,1344,724,948,376,2927,1717,616,434,1078,678,468,194,1070,694,8451,4817
Engineering,0,0,0,0,450,56,33,4,0,0,0,0,0,0,483,60
Forestry,0,0,0,0,25,2,0,0,0,0,0,0,0,0,25,2
HSS,677,322,578,133,8334,4023,513,238,842,394,478,161,483,191,11905,5462
Law,22,2,0,0,266,73,0,0,0,0,0,0,0,0,288,75
Management,1200,565,585,146,10562,4985,864,465,993,500,150,62,376,162,14730,6885
Medical Sciences,367,163,0,0,691,288,33,19,0,0,0,0,0,0,1091,470
"Science
&Technology",204,121,0,0,2727,1653,105,96,58,1,0,0,29,27,3123,1898
Sanskrit,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0
Buddhism,0,0,0,0,119,47,0,0,77,10,0,0,0,0,196,57
Total,3814,1897,2111,655,26454,12909,2171,1256,3048,1583,1096,417,1958,1074,40652,19791
