province,district,grade 1,grade 2,grade 3,grade 4,grade 5,grade 6,grade 7,grade 8,grade 9,grade 10,grade11,grade 12
Province 1,Taplejung,13223,10421,9610,8316,7475,5356,5073,4513,3385,2984,1718,1437
Province 1,Sankhuwasabha,8856,6183,5566,5194,4819,4681,3913,3832,2899,2251,1132,1020
Province 1,Solukhumbu,7165,5162,4627,4196,3791,3573,3168,2899,2475,1969,1450,1183
Province 1,Panchthar,11079,7710,7338,7372,7428,7044,6306,6233,4807,4322,2317,2159
Province 1,Ilam,8164,6672,6889,6900,6619,6788,6539,7692,4700,4344,2798,2483
Province 1,Dhankuta,5385,4504,4618,4605,4609,4980,4370,4323,3357,3239,1990,1797
Province 1,Terhathum,7351,4778,4623,4266,4191,3374,3217,3107,2509,2332,1449,1225
Province 1,Bhojpur,10125,6963,6432,5957,5914,6061,5298,4922,3986,3345,1450,1318
Province 1,Okhaldhunga,8659,5759,5360,5446,5447,5240,4694,4037,3754,2891,1486,1920
Province 1,Khotang,17018,9025,8558,7816,7414,6861,6281,5982,5092,4390,2245,1915
Province 1,Udayapur,15093,12008,10795,9970,9946,10091,10764,8875,7349,6333,2990,2143
Province 1,Jhapa,16559,13279,13624,13505,13989,14338,13048,13888,9510,8955,4920,4494
Province 1,Morang,28715,23284,21346,20757,19840,17592,16397,14449,13639,11627,6652,6185
Province 1,Sunsari,24742,20553,16605,15436,14286,11916,11715,10189,9443,8240,5239,3393
Province 2,Saptari,31341,24421,18627,15752,14687,11181,10175,9121,7144,5902,1860,2446
Province 2,Siraha,28299,24947,20602,17418,14523,11287,11702,8741,6880,5791,4127,2917
Province 3,Dolakha,10752,6427,6285,6032,5847,5828,5471,5004,4263,3528,1892,1733
Province 3,Sindhupalchok,15413,11256,10145,9729,8733,7963,7359,6548,5343,4677,2571,2406
Province 3,Rasuwa,2368,1551,1350,1279,1207,1195,1078,1042,835,739,486,351
Province 3,Sindhuli,23688,14696,13733,11830,10939,9471,9243,7320,5742,5083,3513,2945
Province 3,Ramechhap,11088,8028,7647,7150,7182,7330,6989,6434,5509,4560,2359,2771
Province 3,Kavrepalanchok,15190,10865,10512,9879,9365,9209,8565,7893,7113,6362,1766,1279
Province 3,Nuwakot,14052,10179,9427,8416,8144,7701,7139,6667,5597,4418,1629,1723
Province 3,Dhading,17151,12142,11286,10995,10182,9804,8573,7541,6447,5569,2421,2022
Province 3,Makwanpur,19483,14228,13429,12382,11023,10359,8634,7751,6004,4944,1533,1128
Province 2,Dhanusha,28443,24991,20075,18320,16038,11187,10251,8695,6706,5705,1871,1539
Province 2,Mahottari,35563,31202,24266,19499,15831,12495,10242,8079,5512,4859,1521,1420
Province 2,Sarlahi,54805,36424,27220,20395,15043,10408,9383,8632,6626,5221,2842,2300
Province 2,Rautahat,46806,37728,31474,20627,15299,10355,9073,7634,6535,6061,3932,5274
Province 2,Bara,49823,28071,22743,17174,13946,9731,8285,6726,6074,4800,1529,1203
Province 2,Parsa,34794,23159,18636,14196,11393,8388,7903,6582,5113,4684,800,512
Province 3,Chitwan,10201,9253,9501,9898,9581,9945,8993,8817,8406,7397,3522,2384
Province 3,Lalitpur,4993,3750,3738,3744,3640,3505,3493,3580,3077,2581,1798,1614
Province 3,Bhaktapur,2080,1582,1604,1579,1729,2311,2488,2590,1789,1887,2273,2365
Province 3,Kathmandu,10468,7791,7919,8573,8557,9456,9415,9780,9154,8217,4922,3809
Gandaki,Manang,144,95,75,89,77,89,85,86,69,56,71,34
Gandaki,Mustang,414,239,232,223,215,182,181,152,136,108,66,50
Gandaki,Gorkha,10563,8884,8970,8724,8117,8202,7144,6855,6113,4657,1557,1192
Gandaki,Lamjung,6900,4802,4718,4746,4556,4534,4266,3931,3643,2945,1144,970
Gandaki,Tanahu,10258,7604,7738,7853,7850,7979,7213,6593,6020,4847,1428,952
Gandaki,Syangja,7670,6927,7164,7181,7284,7099,7007,6878,6691,5992,3888,3066
Gandaki,Kaski,5369,4834,5199,5497,5733,6102,5863,6009,5762,5362,5510,4631
Gandaki,Myagdi,3953,3112,2932,3125,3003,2998,2631,2414,2237,1807,618,298
Gandaki,Parbat,4867,4131,4219,3970,3919,3819,3682,3683,3401,3219,1973,2032
Gandaki,Baglung,14273,9019,8615,8405,7963,7402,6723,6174,5339,4630,2735,2457
Province 5,Gulmi,14085,9395,9089,8526,7910,7486,6859,6760,5874,5164,1653,2914
Province 5,Palpa,9713,7649,7675,7954,7936,7703,7137,6627,5776,4840,3190,3279
Province 5,Arghakhanchi,10052,7223,6682,6326,6095,6003,5193,4891,4280,3792,1576,1470
Province 5,Nawalparasi,21277,16102,16008,15562,14825,13233,12500,10937,8859,8138,3555,3315
Province 5,Rupandehi,22962,17957,16700,15896,14875,12539,11180,10062,8415,7455,3702,2966
Province 5,Kapilbastu,29800,24099,19455,15920,13328,9573,8812,7224,5399,4539,2694,2194
Karnali,Dolpa,2408,1516,1267,1048,1030,798,740,691,455,392,172,164
Karnali,Jumla,10691,4281,3941,3329,2858,2440,2228,1743,1441,1384,370,79
Karnali,Kalikot,11797,6361,6010,5224,5083,4623,3694,3867,2552,2017,1230,1055
Karnali,Mugu,2510,1853,1771,1684,1832,2232,1431,1208,841,1021,131,276
Karnali,Humla,6361,1888,1541,1410,1208,991,877,721,739,541,366,297
Province 5,Pyuthan,14275,9708,8523,8080,7360,6335,5028,5488,2777,2960,979,1011
Province 5,Rolpa,19515,10656,9076,8188,7328,6316,5064,4169,2895,2004,1041,865
Province 5,Rukum,23364,13039,11444,10448,9544,6603,6132,5663,4418,4081,419,258
Karnali,Salyan,16872,10772,9929,9691,9344,8502,8016,6482,5184,4030,2416,1484
Karnali,Surkhet,19241,15078,14616,13912,11991,12531,11068,10778,6952,6562,4147,2859
Karnali,Dailekh,18307,13663,10960,10305,9547,10281,8863,7432,5484,4690,2279,2099
Karnali,Jajarkot,21518,12934,11638,9065,8262,6233,5603,4696,3549,3465,2126,1516
Karnali,Dang,15049,12095,11909,12081,11972,13970,13235,11565,10464,8632,4136,2746
Province 5,Banke,23511,15898,12478,10454,9579,8193,7382,6835,5933,5048,2913,2053
Province 5,Bardiya,12658,12022,12245,13323,13293,13680,11606,13402,6472,6592,2743,1922
Province 5,Bajura,12115,6547,5787,5355,4680,4357,3759,2966,2232,2350,1115,1046
Province 7,Bajhang,21218,10346,8823,7359,6818,5626,4688,3853,3240,3096,1533,1698
Province 7,Darchula,10425,5281,4549,4459,3992,3751,3452,2991,2630,2528,1905,2046
Province 7,Achham,26687,13533,11671,10191,9224,8360,6992,5488,4380,4147,1438,1450
Province 7,Doti,19095,9433,7557,6611,5839,5115,4014,3189,2912,2220,779,900
Province 7,Dadeldhura,6507,5047,5072,5458,4848,4728,3999,3820,2290,2552,855,1091
Province 7,Baitadi,21727,12459,10673,9328,8763,7673,6584,5810,4745,4398,2540,2275
Province 7,Kailali,29174,21262,20674,20496,20949,20298,18228,16227,13290,11355,3962,3982
Province 7,Kanchanpur,10726,10476,11093,11594,11173,10344,9465,8381,7375,6293,3649,3650
Unknown,Total,1196986,847212,754928,683693,628860,565927,513861,466859,378038,330116,165607,145455
